Source,Target,Weight
里克·德卡德,伊兰·德卡德,12
里克·德卡德,菲尔·雷施,102
里克·德卡德,威尔伯·默瑟,17
里克·德卡德,仿生人,80
里克·德卡德,戴夫·霍尔登,32
里克·德卡德,哈里·布赖恩特,48
里克·德卡德,埃尔登·罗森,86
里克·德卡德,马克斯·波洛科夫,23
里克·德卡德,蕾切尔·罗森,32
里克·德卡德,鲁芭·勒夫特,57
里克·德卡德,加兰德,23
里克·德卡德,伊姆加德·贝蒂,5
里克·德卡德,罗伊·贝蒂,10
里克·德卡德,约翰·伊西多尔,7
里克·德卡德,普里斯·斯特拉顿,2
伊兰·德卡德,里克·德卡德,12
伊兰·德卡德,仿生人,2
伊兰·德卡德,菲尔·雷施,4
伊兰·德卡德,威尔伯·默瑟,5
伊兰·德卡德,哈里·布赖恩特,2
伊兰·德卡德,蕾切尔·罗森,1
伊兰·德卡德,伊姆加德·贝蒂,1
伊兰·德卡德,罗伊·贝蒂,1
仿生人,伊兰·德卡德,2
仿生人,里克·德卡德,80
仿生人,戴夫·霍尔登,14
仿生人,埃尔登·罗森,45
仿生人,哈里·布赖恩特,10
仿生人,威尔伯·默瑟,12
仿生人,蕾切尔·罗森,31
仿生人,马克斯·波洛科夫,15
仿生人,鲁芭·勒夫特,42
仿生人,加兰德,18
仿生人,菲尔·雷施,54
仿生人,普里斯·斯特拉顿,9
仿生人,约翰·伊西多尔,8
仿生人,罗伊·贝蒂,9
仿生人,伊姆加德·贝蒂,2
菲尔·雷施,伊兰·德卡德,4
菲尔·雷施,里克·德卡德,102
菲尔·雷施,加兰德,35
菲尔·雷施,马克斯·波洛科夫,13
菲尔·雷施,鲁芭·勒夫特,62
菲尔·雷施,仿生人,54
菲尔·雷施,罗伊·贝蒂,1
菲尔·雷施,威尔伯·默瑟,2
菲尔·雷施,蕾切尔·罗森,2
威尔伯·默瑟,里克·德卡德,17
威尔伯·默瑟,约翰·伊西多尔,24
威尔伯·默瑟,仿生人,12
威尔伯·默瑟,伊兰·德卡德,5
威尔伯·默瑟,菲尔·雷施,2
威尔伯·默瑟,罗伊·贝蒂,6
威尔伯·默瑟,哈里·布赖恩特,3
威尔伯·默瑟,伊姆加德·贝蒂,3
威尔伯·默瑟,普里斯·斯特拉顿,7
威尔伯·默瑟,蕾切尔·罗森,4
威尔伯·默瑟,埃尔登·罗森,2
威尔伯·默瑟,戴夫·霍尔登,1
戴夫·霍尔登,仿生人,14
戴夫·霍尔登,里克·德卡德,32
戴夫·霍尔登,哈里·布赖恩特,26
戴夫·霍尔登,埃尔登·罗森,10
戴夫·霍尔登,马克斯·波洛科夫,16
戴夫·霍尔登,鲁芭·勒夫特,6
戴夫·霍尔登,蕾切尔·罗森,2
戴夫·霍尔登,伊姆加德·贝蒂,4
戴夫·霍尔登,加兰德,1
戴夫·霍尔登,罗伊·贝蒂,2
戴夫·霍尔登,普里斯·斯特拉顿,2
戴夫·霍尔登,约翰·伊西多尔,1
戴夫·霍尔登,威尔伯·默瑟,1
约翰·伊西多尔,威尔伯·默瑟,24
约翰·伊西多尔,普里斯·斯特拉顿,44
约翰·伊西多尔,加兰德,4
约翰·伊西多尔,马克斯·波洛科夫,6
约翰·伊西多尔,伊姆加德·贝蒂,17
约翰·伊西多尔,罗伊·贝蒂,22
约翰·伊西多尔,鲁芭·勒夫特,3
约翰·伊西多尔,仿生人,8
约翰·伊西多尔,里克·德卡德,7
约翰·伊西多尔,戴夫·霍尔登,1
哈里·布赖恩特,戴夫·霍尔登,26
哈里·布赖恩特,里克·德卡德,48
哈里·布赖恩特,埃尔登·罗森,19
哈里·布赖恩特,仿生人,10
哈里·布赖恩特,马克斯·波洛科夫,11
哈里·布赖恩特,鲁芭·勒夫特,6
哈里·布赖恩特,伊兰·德卡德,2
哈里·布赖恩特,加兰德,1
哈里·布赖恩特,威尔伯·默瑟,3
埃尔登·罗森,仿生人,45
埃尔登·罗森,哈里·布赖恩特,19
埃尔登·罗森,戴夫·霍尔登,10
埃尔登·罗森,里克·德卡德,86
埃尔登·罗森,蕾切尔·罗森,58
埃尔登·罗森,马克斯·波洛科夫,2
埃尔登·罗森,鲁芭·勒夫特,12
埃尔登·罗森,威尔伯·默瑟,2
埃尔登·罗森,伊姆加德·贝蒂,2
埃尔登·罗森,罗伊·贝蒂,2
埃尔登·罗森,普里斯·斯特拉顿,2
马克斯·波洛科夫,里克·德卡德,23
马克斯·波洛科夫,哈里·布赖恩特,11
马克斯·波洛科夫,戴夫·霍尔登,16
马克斯·波洛科夫,仿生人,15
马克斯·波洛科夫,鲁芭·勒夫特,17
马克斯·波洛科夫,埃尔登·罗森,2
马克斯·波洛科夫,蕾切尔·罗森,3
马克斯·波洛科夫,加兰德,18
马克斯·波洛科夫,菲尔·雷施,13
马克斯·波洛科夫,伊姆加德·贝蒂,5
马克斯·波洛科夫,罗伊·贝蒂,7
马克斯·波洛科夫,普里斯·斯特拉顿,4
马克斯·波洛科夫,约翰·伊西多尔,6
蕾切尔·罗森,里克·德卡德,32
蕾切尔·罗森,埃尔登·罗森,58
蕾切尔·罗森,仿生人,31
蕾切尔·罗森,马克斯·波洛科夫,3
蕾切尔·罗森,戴夫·霍尔登,2
蕾切尔·罗森,鲁芭·勒夫特,5
蕾切尔·罗森,罗伊·贝蒂,5
蕾切尔·罗森,普里斯·斯特拉顿,9
蕾切尔·罗森,加兰德,1
蕾切尔·罗森,菲尔·雷施,2
蕾切尔·罗森,威尔伯·默瑟,4
蕾切尔·罗森,伊姆加德·贝蒂,2
蕾切尔·罗森,伊兰·德卡德,1
普里斯·斯特拉顿,约翰·伊西多尔,44
普里斯·斯特拉顿,加兰德,4
普里斯·斯特拉顿,马克斯·波洛科夫,4
普里斯·斯特拉顿,伊姆加德·贝蒂,26
普里斯·斯特拉顿,罗伊·贝蒂,24
普里斯·斯特拉顿,鲁芭·勒夫特,3
普里斯·斯特拉顿,仿生人,9
普里斯·斯特拉顿,蕾切尔·罗森,9
普里斯·斯特拉顿,戴夫·霍尔登,2
普里斯·斯特拉顿,威尔伯·默瑟,7
普里斯·斯特拉顿,里克·德卡德,2
普里斯·斯特拉顿,埃尔登·罗森,2
鲁芭·勒夫特,哈里·布赖恩特,6
鲁芭·勒夫特,仿生人,42
鲁芭·勒夫特,马克斯·波洛科夫,17
鲁芭·勒夫特,戴夫·霍尔登,6
鲁芭·勒夫特,里克·德卡德,57
鲁芭·勒夫特,埃尔登·罗森,12
鲁芭·勒夫特,蕾切尔·罗森,5
鲁芭·勒夫特,加兰德,21
鲁芭·勒夫特,菲尔·雷施,62
鲁芭·勒夫特,伊姆加德·贝蒂,4
鲁芭·勒夫特,罗伊·贝蒂,5
鲁芭·勒夫特,普里斯·斯特拉顿,3
鲁芭·勒夫特,约翰·伊西多尔,3
加兰德,里克·德卡德,23
加兰德,仿生人,18
加兰德,马克斯·波洛科夫,18
加兰德,鲁芭·勒夫特,21
加兰德,菲尔·雷施,35
加兰德,伊姆加德·贝蒂,3
加兰德,罗伊·贝蒂,5
加兰德,普里斯·斯特拉顿,4
加兰德,约翰·伊西多尔,4
加兰德,戴夫·霍尔登,1
加兰德,哈里·布赖恩特,1
加兰德,蕾切尔·罗森,1
伊姆加德·贝蒂,加兰德,3
伊姆加德·贝蒂,马克斯·波洛科夫,5
伊姆加德·贝蒂,罗伊·贝蒂,16
伊姆加德·贝蒂,鲁芭·勒夫特,4
伊姆加德·贝蒂,普里斯·斯特拉顿,26
伊姆加德·贝蒂,约翰·伊西多尔,17
伊姆加德·贝蒂,戴夫·霍尔登,4
伊姆加德·贝蒂,仿生人,2
伊姆加德·贝蒂,里克·德卡德,5
伊姆加德·贝蒂,威尔伯·默瑟,3
伊姆加德·贝蒂,埃尔登·罗森,2
伊姆加德·贝蒂,蕾切尔·罗森,2
伊姆加德·贝蒂,伊兰·德卡德,1
罗伊·贝蒂,加兰德,5
罗伊·贝蒂,马克斯·波洛科夫,7
罗伊·贝蒂,伊姆加德·贝蒂,16
罗伊·贝蒂,鲁芭·勒夫特,5
罗伊·贝蒂,普里斯·斯特拉顿,24
罗伊·贝蒂,约翰·伊西多尔,22
罗伊·贝蒂,菲尔·雷施,1
罗伊·贝蒂,仿生人,9
